Province,Province Name En,Province Name Ne,District Id,District Code,District Name En,District Name Ne,GAPA Id,GAPA Code,GaPa Name En,GaPa Name Ne,Total Wards
1,Province No. 1,प्रदेश १,5,105,Khotang,खोटाङ,5,10505,Diktel Rupakot Majhuwagadhi Municipality,दिक्तेल रुपाकोट मझुवागढी नगरपालिका,15
1,Province No. 1,प्रदेश १,5,105,Khotang,खोटाङ,6,10506,Sakela Gaunpalika,साकेला गाउँपालिका,5
1,Province No. 1,प्रदेश १,5,105,Khotang,खोटाङ,7,10507,Diprung Chuichumma Gaunpalika,दिप्रुङ चुइचुम्मा गाउँपालिका,7
1,Province No. 1,प्रदेश १,5,105,Khotang,खोटाङ,8,10508,Khotehang Gaunpalika,खोटेहाङ गाउँपालिका,9
1,Province No. 1,प्रदेश १,5,105,Khotang,खोटाङ,9,10509,Jante Dhunga Gaunpalika,जन्तेढुङ्गा गाउँपालिका,6
1,Province No. 1,प्रदेश १,5,105,Khotang,खोटाङ,10,10510,Baraha Pokhari Gaunpalika,बराहपोखरी गाउँपालिका,6
1,Province No. 1,प्रदेश १,6,106,Bhojpur,भोजपुर,1,10601,Shadananda Municipality,षडानन्द नगरपालिका,14
1,Province No. 1,प्रदेश १,6,106,Bhojpur,भोजपुर,2,10602,Salpa Silichho Gaunpalika,साल्पासिलिछो गाउँपालिका,6
1,Province No. 1,प्रदेश १,6,106,Bhojpur,भोजपुर,3,10603,Temkemaiyum Gaunpalika,टेम्केमैयुङ गाउँपालिका,9
1,Province No. 1,प्रदेश १,6,106,Bhojpur,भोजपुर,4,10604,Bhojpur Municipality,भोजपुर नगरपालिका,12
1,Province No. 1,प्रदेश १,6,106,Bhojpur,भोजपुर,5,10605,Arun Gaunpalika,अरुण गाउँपालिका,7
1,Province No. 1,प्रदेश १,6,106,Bhojpur,भोजपुर,6,10606,Pauwa Dunma Gaunpalika,पौवा दुङ्मा गाउँपालिका,6
1,Province No. 1,प्रदेश १,6,106,Bhojpur,भोजपुर,7,10607,Ramprasad Rai Gaunpalika,रामप्रसाद राई गाउँपालिका,8
1,Province No. 1,प्रदेश १,6,106,Bhojpur,भोजपुर,8,10608,Hatuwagadhi Gaunpalika,हतुवागढी गाउँपालिका,9
